track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2BnJUYbPtL3yauZKmay0ko,0.588,0.957,3,-6.886,1,0.045,0.436,0.00129,0.958,0.884,135.154,249160,4
5VMNUUiQ5FgS3wCTG8uy0F,0.509,0.672,0,-7.343,1,0.0305,0.42,0,0.178,0.531,134.5,282867,4
3udqXU6o5XkmYQxXXtduNc,0.458,0.361,10,-10.676,1,0.0287,0.789,0,0.142,0.34,140.167,258476,4
6yohb1WhR4Ou6wPgQi1R1y,0.356,0.476,9,-13.386,1,0.0421,0.535,8.1e-5,0.193,0.471,83.383,239400,4
29VglJSWQLGjXo9ugmP037,0.316,0.539,0,-9.532,1,0.0348,0.587,0,0.755,0.567,86.101,309280,4
6yTE5lm0wJq3CcU8GeT0T9,0.533,0.574,2,-8.145,1,0.0264,0.176,2.77e-5,0.913,0.488,107.895,194707,3
2HsIdgJZNuOeIbvo7MfJ6s,0.364,0.565,9,-10.213,1,0.0308,0.379,3.21e-6,0.943,0.196,86.419,207467,4
7iYfbgWyZKXVnm6vmUYGcV,0.48,0.752,2,-5.958,1,0.0261,0.0573,4.8e-6,0.366,0.414,95.548,282000,4
2H0rJPNJgFbTHeStq3dXun,0.31,0.604,0,-9.263,1,0.0315,0.198,0,0.074,0.555,168.297,221933,4
2R8eNzdJSiqt28AWk3zoB5,0.524,0.66,2,-8.309,1,0.0406,0.319,0,0.471,0.498,145.865,237102,4
4pGPLc8H9Br5JGnmphIbcC,0.547,0.768,2,-4.882,1,0.0465,0.366,0,0.32,0.567,111.755,156469,4
1OYJlZVDrTsA6EJzf78fQp,0.62,0.733,9,-5.567,1,0.0322,0.0776,0,0.363,0.486,102.025,201441,4
6c63XoLOW95ZK6J4vtDY2X,0.571,0.562,5,-8.192,1,0.0413,0.581,0,0.704,0.848,131.127,187907,4
3E5nTaj6qB3cZqik0LhyT2,0.629,0.641,9,-6.44,1,0.0324,0.263,0,0.769,0.464,99.982,179705,4
7BLf2w4tV2dBlE8QQ5Zjut,0.529,0.767,5,-5.193,1,0.0382,0.0507,0,0.78,0.335,73.982,252027,4
78cj9M7Ax1yDruYM5QeG39,0.76,0.652,1,-5.935,1,0.0282,0.312,9.15e-6,0.101,0.695,120.025,212187,4
7KEN7S7Tg4BXgghYZcinS9,0.549,0.343,3,-9.816,1,0.0297,0.495,0,0.703,0.388,70.82,191973,4
287zQmV2gWwQhF1YEqIHRu,0.59,0.546,2,-6.33,1,0.0247,0.582,0,0.0905,0.338,110.014,194749,4
6KgMF6urbWlh433VY7Yvzb,0.572,0.797,7,-5.302,1,0.0468,0.485,0,0.921,0.455,120.082,219493,4
4NebH0wqHPjJALLeGHpX7Z,0.763,0.509,9,-8.308,1,0.114,0.699,0,0.102,0.796,94.036,158976,4
0ueSj6goFDHHKCADDz56H4,0.733,0.765,10,-7.195,1,0.0372,0.0568,0,0.428,0.95,91.996,223479,4
4Low3Ltbydze8MwekleuUA,0.458,0.61,11,-7.492,1,0.0614,0.0383,0,0.101,0.506,136.86,197826,4
6sgCZybqq4ED7fHsDtahvK,0.749,0.702,6,-6.611,1,0.0479,0.155,0,0.148,0.962,141.999,190187,4
3t2ATXD52IUCkonAO2hShF,0.614,0.549,8,-8.819,0,0.0286,0.115,0,0.329,0.663,147.934,212715,4
4SrXpaZtMokUhhFkgzDMpK,0.641,0.617,5,-7.411,0,0.0307,0.413,0,0.112,0.941,139.942,239073,4
0WKqlUwMcxvJj8HS5Kah7Q,0.546,0.588,0,-7.004,0,0.047,0.323,0,0.389,0.613,140.087,218128,4
38IXLHGxQknuYcOgpHdzy4,0.443,0.381,3,-8.75,1,0.0345,0.664,0,0.115,0.323,64.026,179584,4
3HJLlQg237C82vJbYmCtVt,0.612,0.823,7,-4.324,1,0.0708,0.0402,0,0.378,0.774,133.971,224171,4
3uCg5JVHl2E6i8gFJxUjsp,0.645,0.471,11,-9.192,0,0.0401,0.271,0,0.152,0.767,79.125,266440,4
5RkPULKkPpFKkS5BnvK1t6,0.666,0.404,1,-9.888,0,0.035,0.39,0,0.259,0.775,137.965,228080,4
3QQhhSRe31x9qs1NqlOuOS,0.7,0.491,11,-10.566,1,0.0476,0.554,0,0.144,0.779,79.968,253733,4
6AgLck54Q7UMolf5WASUEx,0.618,0.563,2,-8.889,1,0.0542,0.478,0,0.0553,0.836,79.824,219973,4
7nMwBEAXi2WGNi2wwDU1xi,0.623,0.637,5,-8.657,1,0.0431,0.386,1.12e-5,0.175,0.793,82.462,219573,4
2AW1lzHTtf1lEbAalkaGXI,0.644,0.626,7,-6.723,1,0.0367,0.525,0,0.0938,0.73,140.997,241189,4
